iterations_cay,cost_vals_cay,gradient_vals_cay,iterations_exp,cost_vals_exp,gradient_vals_exp,iterations_pseudo,cost_vals_pseudo,gradient_vals_pseudo
148,16.032600501163078,0.0027974086251304937,148,15.908636878729078,0.0013606969797029106,148,15.908637652173907,0.001331059892218217
149,16.032600109984454,0.0026499604987859533,149,15.908636795721353,0.001221242452609215,149,15.908637571207302,0.00119544847307854
150,16.032599753475004,0.0025103256387714766,150,15.90863669249642,0.0012052177276191942,150,15.90863747112744,0.0011802456139980487
151,16.032599428562722,0.0023780873945897095,151,15.908636625896179,0.0010819203061494713,151,15.90863740615085,0.0010602007971314926
152,16.03259913245929,0.0022528531183875424,152,15.90863656617882,0.0010676646644785853,152,15.90863734790175,0.0010466633050380924
153,16.03259886261127,0.002134249569138478,153,15.908636490261792,0.0010540591262559402,153,15.908637274236032,0.0010337668845038042
154,16.032598616699463,0.0020219248101409145,154,15.908636442338521,0.0009459521696495536,154,15.908637227480746,0.0009283273800219592
155,16.032598392601912,0.0019155444588207047,155,15.908636381900564,0.0009338513405632769,155,15.908637168777831,0.0009168463262429287
156,16.032598188390082,0.001814793061872113,156,15.908636343433757,0.0008382391880306019,156,15.908637131240662,0.0008234825442743114
157,16.03259800230062,0.0017193710265769517,157,15.908636295301601,0.0008274730307947505,157,15.908637084446196,0.0008132584204748133
158,16.03259783273014,0.0016289955951671934,158,15.908636264418742,0.0007429008253113698,158,15.908637054303604,0.000730577619378469
159,16.03259767821338,0.001543398326293057,159,15.908636226073321,0.0007333189268387032,159,15.908637016990072,0.0007214700718619732
160,16.03259757528097,0.0014623258046341477,160,15.908636201274007,0.0006585025276333926,160,15.908636992780501,0.0006482413207392272
161,16.03259745525836,0.0015073417456312628,161,15.908636179031454,0.0006499717943353585,161,15.90863697107098,0.0006401259818692923
162,16.032597345776722,0.0014279104539183026,162,15.908636150796644,0.0006418344139322782,162,15.908636943569451,0.0006323978529424843
163,16.032597245912815,0.0013526870333222048,163,15.90863613293219,0.000576180115055559,163,15.908636926129597,0.0005680277345012173
164,16.032597154825833,0.0012814479442471635,164,15.908636110433248,0.0005689371168665154,164,15.908636904195657,0.0005611431701808303
165,16.032597071746476,0.0012139810437766416,165,15.908636096082292,0.000510838771414616,165,15.90863689018308,0.000504115804359667
166,16.032596995973904,0.0011500859787360637,166,15.908636078147929,0.0005043897423934918,166,15.908636872684186,0.000497980906699766
167,16.03259692686716,0.001089572663957134,167,15.908636066617008,0.000452971526918987,167,15.90863686142318,0.00044745299756564596
168,16.032596863842382,0.0010322615242778933,168,15.908636052316448,0.0004472275659362086,168,15.908636847458183,0.0004419845242808052
169,16.032596806365458,0.0009779822300742995,169,15.908636043049665,0.0004017159382636253,169,15.908636838406792,0.0003972103171292163
170,16.032596753950063,0.0009265738263973324,170,15.908636034736036,0.00039659831100875934,170,15.908636830287504,0.00039233445109033754
171,16.032596706151587,0.0008778836785133036,171,15.90863602419409,0.00039171914698309156,171,15.908636819981977,0.0003876928373001751
172,16.032596662564664,0.0008317675180821631,172,15.90863601751166,0.0003517489446735316,172,15.908636813454578,0.0003483056596146347
173,16.03259662281919,0.0007880885605785455,173,15.90863600910401,0.000347402865390021,173,15.90863680522886,0.00034416805935392195
174,16.032596596501406,0.0007467174969625825,174,15.908636003731766,0.00031201394461614305,174,15.908636799980345,0.0003092565622731092
175,16.03259656561326,0.0007698694889599233,175,15.90863599702401,0.00030814147483518604,175,15.908636793412652,0.00030556717956766567
176,16.032596537416932,0.0007293222416950183,176,15.908635992704179,0.00027680511723141916,176,15.908636789191615,0.0002746194409825646
177,16.0325965116789,0.0006909222471414845,177,15.908635987351003,0.0002733535562685796,177,15.908636783946308,0.00027132877624182314
178,16.03259648818602,0.0006545553977093999,178,15.908635983876795,0.00024560250441941513,178,15.908636780551063,0.00024389183096488058
179,16.03259646674336,0.0006201135304601273,179,15.908635980759076,0.00024252513923456198,179,15.90863677750461,0.00024095595746199432
180,16.032596447172907,0.0005874943769041649,180,15.908635976808647,0.00023959262610219142,180,15.908636773629112,0.00023816208207604294
181,16.032596429311873,0.0005566010101969458,181,15.90863597430085,0.00021520179846102163,181,15.90863677117818,0.00021400886828944413
182,16.032596413011667,0.0005273417706601793,182,15.90863597114751,0.00021258786155751883,182,15.908636768082468,0.00021151684410871064
183,16.032596398136512,0.0004996297969373772,183,15.908635969130021,0.00019098172564950428,183,15.90863676611041,0.00019009813329705938
184,16.032596384562318,0.0004733829358349071,184,15.908635966612195,0.00018865103638197945,184,15.908636763636931,0.00018787472138983148
185,16.032596372175718,0.0004485233432226338,185,15.908635964988703,0.00016950955325600886,185,15.908636762049792,0.0001688789715766255
186,16.03259636087336,0.00042497738468228835,186,15.908635962977817,0.00016743078195533397,186,15.908636760072866,0.00016689466338600783
187,16.03259635056059,0.00040267529454554536,187,15.908635961671232,0.00015047095121511285,187,15.908636758795335,0.00015004606314764817
188,16.032596341151184,0.0003815510721649919,188,15.908635960498406,0.00014861630549553267,188,15.908636757214877,0.00014827465404141315
189,16.032596334882953,0.0003615421902481645,189,15.908635959012857,0.00014684980117354057,189,15.908636756186429,0.00013332899588945838
